district	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	attraction	building	busstop	community	mall	primaryschool	restaurant	secondaryschool	university	deltausers
海淀区	纯住宅	1	1	1	0	0	0	1	40048.0	4634.0	13.5	0	11	6	51	0	0	57	0	0	-23
海淀区	写字楼	1	1	0	0	0	1	1	NULL	7040.0	7.0	2	1	1	27	0	0	48	0	0	-104
海淀区	纯住宅	1	0	0	0	0	0	1	34000.0	623.0	10.0	0	2	0	10	3	0	35	0	0	-57
丰台区	纯住宅	1	1	1	1	1	0	0	50000.0	350.0	8.0	0	0	0	3	0	0	1	0	0	-35
丰台区	纯住宅	1	1	1	0	0	0	0	38000.0	3927.0	16.0	1	3	2	17	1	0	19	0	0	-32
东城区	写字楼	1	1	1	1	1	0	1	40000.0	3520.0	15.0	2	12	3	32	0	1	13	1	0	-106
朝阳区	纯住宅	1	1	0	0	0	0	1	31800.0	840.0	20.0	0	10	1	36	0	1	82	1	0	-53
海淀区	写字楼	1	0	0	0	0	0	1	NULL	3379.2	26.0	1	3	1	4	0	0	24	1	0	-107
朝阳区	纯住宅	1	1	0	0	0	0	1	34150.0	865.0	14.0	1	2	2	14	0	0	28	0	1	-74
朝阳区	商住两用	1	1	1	1	1	0	1	48000.0	3960.0	11.0	2	8	2	38	2	0	52	2	0	-66
东城区	写字楼	1	1	1	1	1	0	1	NULL	3344.0	7.5	8	3	3	6	0	1	37	0	0	-99
东城区	写字楼	1	1	1	1	0	0	1	58000.0	3520.0	7.0	10	19	2	9	7	0	191	0	1	-463
东城区	纯住宅	1	1	0	0	0	0	0	52517.0	3329.0	17.5	19	2	4	31	0	0	7	0	0	-40
东城区	写字楼	1	1	0	1	0	0	1	NULL	3520.0	7.0	2	1	0	52	0	1	17	0	0	-68
丰台区	纯住宅	1	1	1	0	0	0	1	38000.0	1680.0	22.0	0	0	1	13	1	1	9	0	0	-34
丰台区	纯住宅	1	1	1	0	0	0	1	38000.0	298.0	16.0	0	4	5	24	0	2	63	0	1	-73
丰台区	纯住宅	1	1	1	0	0	0	1	38000.0	378.0	16.0	1	6	6	39	0	1	20	3	0	-59
丰台区	商住两用	1	1	1	0	0	0	1	38000.0	1320.0	18.0	0	17	2	38	0	0	46	0	0	-62
丰台区	写字楼	1	1	1	1	0	0	0	NULL	3449.6	9.0	0	13	0	0	0	0	8	0	0	-31
丰台区	纯住宅	1	1	1	1	1	0	1	39740.0	840.0	16.5	0	0	3	34	0	0	29	0	0	-70
丰台区	写字楼	1	1	1	0	0	0	1	NULL	6476.8	10.0	0	0	2	28	1	0	23	1	0	-19
丰台区	商住两用	1	1	0	0	0	0	1	34000.0	1320.0	23.0	1	1	3	11	0	0	1	0	0	-48
海淀区	写字楼	1	1	1	1	0	0	1	NULL	3520.0	12.0	0	6	2	24	0	0	36	2	3	-127
朝阳区	纯住宅	0	1	1	1	0	0	0	NULL	1278.0	18.0	1	21	1	176	0	1	48	2	0	-48
海淀区	写字楼	1	1	1	1	0	0	1	NULL	3520.0	9.0	3	1	0	26	0	0	27	3	2	-154
西城区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	12.0	1	19	5	4	1	0	32	1	2	-84
朝阳区	写字楼	1	1	1	0	0	0	1	NULL	3520.0	6.0	1	11	2	23	0	0	16	1	0	-83
西城区	写字楼	1	1	1	1	1	0	1	32300.0	3520.0	6.0	0	3	2	13	0	0	11	0	0	-100
西城区	写字楼	1	1	1	0	1	0	1	NULL	3520.0	9.0	6	1	2	46	0	2	26	1	0	-82
海淀区	写字楼	1	0	0	0	0	1	1	48000.0	3520.0	9.0	0	13	3	90	0	2	33	1	2	-156
西城区	写字楼	1	1	0	1	1	0	0	45000.0	3520.0	10.0	2	12	2	32	1	1	34	1	0	-173
西城区	纯住宅	1	1	1	0	0	0	1	36500.0	1505.0	18.0	7	6	3	16	0	1	19	0	1	-54
海淀区	纯住宅	1	1	1	0	0	0	1	40100.0	595.0	22.0	2	11	2	26	1	0	31	1	0	-40
海淀区	商住两用	1	1	1	0	0	1	1	32500.0	3960.0	16.0	33	1	2	0	0	0	3	0	0	-39
朝阳区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	16.0	0	4	2	40	0	1	28	1	0	-128
海淀区	写字楼	1	1	1	1	1	0	1	32000.0	3520.0	25.0	2	8	3	20	1	0	23	2	0	-39
朝阳区	写字楼	1	1	1	1	1	0	1	51000.0	3520.0	6.0	0	1	4	26	0	1	32	1	0	-67
东城区	写字楼	1	1	0	0	0	0	1	NULL	2921.6	9.0	1	0	0	9	0	0	0	0	0	-63
朝阳区	写字楼	1	1	1	1	1	0	1	45000.0	3520.0	6.0	3	5	3	15	1	0	24	1	0	-102
朝阳区	写字楼	1	1	0	0	0	0	1	42000.0	3520.0	17.0	1	4	5	24	0	0	19	0	0	-111
西城区	纯住宅	1	1	0	0	0	0	1	43000.0	770.0	22.0	3	7	3	32	0	1	17	0	0	-39
丰台区	纯住宅	1	1	1	1	0	0	1	41037.0	560.0	23.0	0	2	1	25	0	0	28	0	0	-62
东城区	写字楼	1	1	0	1	0	0	0	NULL	3520.0	12.0	6	12	0	9	0	1	25	0	0	-134
东城区	写字楼	1	1	0	1	0	0	0	45000.0	3520.0	10.0	16	21	3	9	7	0	130	2	1	-173
海淀区	写字楼	1	1	1	0	0	0	0	NULL	7040.0	18.0	1	0	2	3	0	0	9	0	0	-19
海淀区	商住两用	1	1	1	1	1	0	1	52000.0	2640.0	9.5	0	1	2	20	0	0	25	1	0	-69
西城区	写字楼	1	1	0	0	0	0	0	53000.0	3520.0	5.0	2	1	2	48	0	1	51	0	0	-100
海淀区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	17.0	0	8	3	24	1	0	35	0	0	-66
海淀区	商住两用	0	1	1	0	0	1	1	45000.0	1306.8	24.0	9	3	1	12	0	0	19	0	0	-52
东城区	写字楼	1	1	1	1	0	0	0	NULL	7040.0	13.0	11	17	2	8	7	0	157	0	1	-545
海淀区	商住两用	1	1	1	1	1	0	1	43400.0	11880.0	14.0	0	16	4	8	2	0	75	0	0	-85
朝阳区	纯住宅	0	0	0	1	1	0	0	NULL	1043.0	11.0	0	6	0	46	0	1	5	2	0	-293
海淀区	写字楼	1	1	1	0	0	0	0	42500.0	9926.4	24.0	0	22	4	100	4	1	96	0	0	-111
丰台区	纯住宅	1	0	1	0	0	0	1	38000.0	252.0	18.0	0	1	2	39	0	2	44	1	0	-38
东城区	商住两用	1	1	1	1	0	0	1	64200.0	6600.0	13.5	4	12	3	36	3	3	96	3	0	-29
丰台区	纯住宅	1	1	1	0	0	0	1	38000.0	158.0	11.0	1	5	1	42	0	1	26	0	0	-48
朝阳区	纯住宅	1	1	1	1	1	0	1	30600.0	1484.0	23.0	0	0	1	15	0	0	12	0	0	-245
西城区	纯住宅	1	1	1	0	0	0	1	44855.0	735.0	18.0	2	3	3	35	0	1	23	0	0	-114
朝阳区	纯住宅	1	1	1	1	1	0	1	39000.0	1124.0	22.0	3	12	4	0	0	0	29	0	0	-65
朝阳区	商住两用	1	1	1	1	1	0	1	55600.0	1320.0	16.0	12	1	0	21	0	0	5	0	0	-39
西城区	商住两用	1	1	1	0	1	0	0	41300.0	1320.0	27.5	0	7	2	18	0	1	15	0	0	-105
海淀区	商住两用	1	1	1	1	1	0	1	60000.0	3960.0	12.0	0	5	1	17	0	0	27	1	0	-52
海淀区	写字楼	1	1	0	0	0	0	1	NULL	3238.4	14.0	3	19	3	15	0	0	48	1	0	-67
朝阳区	商住两用	1	1	1	1	1	0	1	45100.0	9240.0	16.0	1	4	3	22	0	0	36	0	0	-88
海淀区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	8.0	1	2	3	24	0	1	15	0	0	-165
海淀区	写字楼	1	0	0	0	0	0	1	NULL	3520.0	16.0	2	7	1	18	0	0	53	0	2	-38
东城区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	11.0	73	11	6	6	0	1	37	0	0	-53
朝阳区	酒店式公寓	1	1	0	0	0	0	0	54000.0	2640.0	17.0	5	0	2	20	0	1	27	1	0	-72
海淀区	纯住宅	1	1	1	1	1	0	0	58000.0	392.0	5.0	1	6	3	37	1	0	46	0	0	-10
朝阳区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	11.0	0	6	0	46	0	1	5	2	0	-293
朝阳区	纯住宅	1	1	1	0	1	1	0	50000.0	3024.0	10.5	2	5	1	5	1	0	7	0	0	-43
海淀区	商住两用	1	1	1	0	0	0	1	72000.0	7920.0	12.5	1	0	2	17	0	1	1	0	0	-59
丰台区	纯住宅	1	1	1	0	0	0	0	38226.0	1386.0	11.0	0	0	1	0	0	0	0	0	0	-23
朝阳区	商住两用	1	1	1	1	1	1	1	35000.0	13200.0	22.0	0	7	1	16	0	0	14	0	0	-98
大兴区	纯住宅	1	1	0	0	0	0	1	26574.0	2111.0	10.5	1	0	1	19	0	0	5	0	0	-6
大兴区	纯住宅	1	1	0	0	0	0	1	25575.0	1281.0	10.0	0	0	3	8	0	0	25	1	0	-35
西城区	商住两用	1	1	0	0	0	0	0	60063.0	19800.0	18.5	25	1	1	29	0	1	36	1	0	-69
海淀区	写字楼	1	0	0	0	0	0	1	NULL	3520.0	6.0	0	1	3	13	0	0	6	1	0	-61
石景山	纯住宅	1	0	0	0	0	0	1	36621.0	3000.0	16.0	0	0	1	4	0	1	1	0	0	-23
海淀区	写字楼	1	1	0	1	1	0	0	56000.0	3414.4	17.0	2	32	1	26	0	1	48	1	0	-145
东城区	纯住宅	1	1	1	1	1	0	0	65000.0	1281.0	22.0	7	2	0	15	0	1	48	1	0	-90
丰台区	纯住宅	1	1	1	0	0	0	0	41200.0	2380.0	15.0	1	0	2	0	0	1	3	0	0	-26
通州区	商住两用	1	1	1	1	0	0	1	21500.0	6600.0	11.5	1	1	5	14	0	0	53	0	1	-21
西城区	纯住宅	1	0	1	0	0	0	1	48557.0	8625.05	12.5	0	2	1	26	0	1	17	2	0	-45
海淀区	写字楼	1	0	0	0	0	0	1	30000.0	3520.0	6.0	1	15	2	15	2	0	81	0	1	-60
朝阳区	酒店式公寓	1	1	0	1	1	0	0	35000.0	1320.0	28.0	2	6	4	12	1	1	78	1	0	-44
朝阳区	写字楼	1	1	0	0	1	1	1	NULL	3520.0	4.0	4	13	3	16	2	0	79	0	0	-79
丰台区	写字楼	1	0	0	0	0	0	1	NULL	6336.0	9.0	1	1	2	28	0	1	4	0	0	-110
朝阳区	商住两用	1	1	0	0	0	0	1	35007.0	1320.0	12.5	1	1	0	28	0	0	5	1	0	-36
海淀区	写字楼	1	1	0	0	0	0	0	NULL	7040.0	5.0	0	3	3	20	0	0	10	1	0	-74
丰台区	写字楼	1	1	0	1	0	0	0	40000.0	3520.0	5.0	0	1	6	42	0	0	21	0	0	-60
西城区	写字楼	1	1	1	1	1	0	1	52000.0	17600.0	14.5	0	10	0	38	0	0	17	0	0	-77
海淀区	纯住宅	1	1	1	1	1	0	1	54000.0	3241.0	13.0	0	9	4	39	0	0	26	0	0	-74
海淀区	纯住宅	1	1	1	1	1	0	1	94500.0	1862.0	16.5	3	5	1	7	1	0	41	0	0	-59
海淀区	商住两用	1	1	1	0	0	0	1	49300.0	3960.0	9.5	0	10	2	58	0	1	31	0	0	-111
朝阳区	写字楼	1	1	1	0	0	0	1	51800.0	3520.0	24.0	1	7	1	30	0	3	36	1	0	-179
朝阳区	写字楼	1	1	0	0	0	0	1	NULL	3520.0	13.0	0	1	1	305	0	1	38	1	0	-52
海淀区	写字楼	1	1	0	0	0	0	1	NULL	10032.0	29.0	1	2	2	45	0	1	19	2	0	-330
朝阳区	纯住宅	1	0	0	0	0	0	1	44000.0	3535.0	28.0	1	11	1	27	1	0	22	0	0	-74
朝阳区	商住两用	1	1	1	1	1	0	1	31413.0	2640.0	10.0	4	0	1	25	0	1	19	0	2	-22
朝阳区	纯住宅	1	1	1	0	0	0	1	51000.0	9940.0	28.0	1	11	1	27	1	0	22	0	0	-74
朝阳区	写字楼	1	1	1	0	0	0	1	36000.0	14080.0	12.5	0	4	4	19	0	2	11	1	0	-160
西城区	纯住宅	1	0	1	0	1	0	1	53000.0	497.0	18.0	0	0	2	13	0	0	26	1	0	-77
海淀区	纯住宅	1	1	0	0	0	0	1	34990.0	4774.0	13.5	1	7	4	22	0	0	25	0	0	-45
东城区	写字楼	1	1	0	0	0	0	1	NULL	3132.8	7.0	7	9	1	13	0	1	28	0	0	-169
西城区	商住两用	1	1	1	0	1	1	0	75190.0	11167.2	7.0	3	0	3	25	0	0	9	0	0	-24
朝阳区	商住两用	1	1	0	1	1	0	0	43000.0	1267.2	17.5	1	3	5	7	1	1	68	1	0	-68
西城区	纯住宅	1	1	1	0	0	0	1	53000.0	945.0	12.0	0	0	2	2	0	0	4	0	0	-65
丰台区	纯住宅	1	1	0	0	0	0	1	40000.0	2275.0	24.0	0	0	3	49	0	1	22	1	0	-50
朝阳区	纯住宅	1	1	1	1	1	0	1	48014.0	3867.5	21.5	0	0	2	1	0	0	1	0	0	-117
朝阳区	纯住宅	1	0	0	0	0	1	1	53300.0	2800.0	11.0	0	0	0	11	0	0	10	0	0	-42
朝阳区	商住两用	1	1	1	1	1	0	1	46700.0	5280.0	22.0	0	2	1	23	0	0	16	0	0	-89
西城区	纯住宅	1	1	1	0	0	0	1	53000.0	547.82	20.0	0	0	2	13	0	0	26	1	0	-77
西城区	纯住宅	1	1	0	0	0	1	1	35000.0	504.0	24.0	0	0	1	8	0	0	5	0	0	-69
西城区	商住两用	1	1	0	0	0	0	1	40000.0	1240.8	4.5	0	0	1	11	0	0	5	0	0	-54
西城区	写字楼	1	1	1	1	1	0	1	NULL	6969.6	18.0	0	12	1	44	1	0	22	0	0	-77
朝阳区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	13.0	0	12	1	53	0	0	15	0	0	-51
海淀区	商住两用	1	1	1	0	0	0	0	NULL	1320.0	8.0	7	5	0	14	4	1	131	0	0	-34
丰台区	纯住宅	1	1	1	1	1	0	1	50000.0	1113.0	6.0	0	0	0	3	0	0	1	0	0	-35
丰台区	纯住宅	0	1	1	1	0	0	0	41000.0	2800.0	17.5	0	5	2	33	0	0	26	0	0	-27
海淀区	酒店式公寓	1	0	0	0	1	0	1	43000.0	1320.0	16.0	1	10	1	29	0	0	16	0	0	-181
大兴区	纯住宅	1	1	0	0	0	0	1	30635.0	1722.0	9.0	0	0	2	7	1	0	17	0	0	-17
丰台区	纯住宅	1	1	1	1	0	0	1	43172.0	1441.02	16.5	0	1	4	21	0	2	10	0	0	-24
朝阳区	纯住宅	1	1	1	1	1	0	1	37000.0	5955.55	15.0	0	1	2	0	0	0	0	0	0	-77
海淀区	纯住宅	1	1	1	1	1	0	1	62620.0	560.0	18.0	5	7	4	22	8	1	117	0	1	-57
海淀区	纯住宅	1	1	1	1	1	0	1	63020.0	350.0	14.0	5	7	4	22	8	1	117	0	1	-57
海淀区	纯住宅	1	1	1	1	1	0	1	42300.0	441.0	18.0	1	2	1	37	0	1	10	1	0	-33
海淀区	商住两用	1	1	1	0	0	0	0	34000.0	10929.6	28.0	4	0	4	10	1	0	75	0	0	-23
朝阳区	纯住宅	1	1	1	0	0	0	1	47500.0	1819.84	10.5	1	1	1	17	0	0	28	0	0	-43
朝阳区	商住两用	1	1	1	0	0	0	1	36100.0	9081.6	9.5	0	0	4	17	0	0	5	0	0	-26
朝阳区	纯住宅	1	1	0	0	1	0	1	56200.0	420.0	15.0	0	0	0	11	0	0	10	0	0	-42
朝阳区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	7.5	1	16	3	52	0	0	54	2	0	-133
朝阳区	写字楼	1	1	0	1	1	0	0	58000.0	10560.0	21.0	8	10	2	39	0	0	22	0	0	-338
通州区	纯住宅	1	1	1	1	1	0	1	21688.0	700.0	19.5	0	0	7	20	0	0	25	0	0	-28
朝阳区	酒店宾馆	1	1	1	1	1	0	1	48000.0	3920.4	26.5	2	2	0	64	0	0	7	1	0	-104
朝阳区	纯住宅	0	1	1	1	1	0	0	NULL	2212.0	16.0	0	23	0	30	0	1	44	0	0	-165
朝阳区	商住两用	1	1	1	1	1	0	1	41000.0	17160.0	23.0	1	3	2	7	0	0	36	0	0	-55
朝阳区	纯住宅	1	1	1	1	1	0	1	44000.0	1898.88	18.5	2	9	3	21	1	0	19	0	0	-77
海淀区	商住两用	1	1	0	0	0	0	1	40000.0	2640.0	14.0	0	0	1	15	0	1	37	0	1	-57
朝阳区	商住两用	1	1	0	1	1	0	1	43000.0	2640.0	16.0	0	2	4	2	0	0	31	0	1	-75
海淀区	酒店宾馆	1	1	1	1	1	0	1	33000.0	1320.0	23.0	1	2	2	48	0	1	20	2	0	-335
朝阳区	纯住宅	1	1	1	1	1	0	1	41000.0	1218.0	19.0	0	0	0	19	0	0	13	0	0	-12
昌平区	纯住宅	1	1	1	0	0	0	1	35000.0	4214.0	12.0	0	0	3	3	0	0	0	0	0	-17
西城区	其他	0	0	0	0	0	1	0	NULL	1320.0	4.0	67	0	0	9	0	1	18	0	0	-64
东城区	纯住宅	1	1	1	0	0	0	1	48000.0	4550.0	11.0	0	4	3	7	4	0	65	2	0	-43
西城区	纯住宅	1	1	1	1	1	0	1	62000.0	560.0	18.0	2	1	0	35	0	2	13	0	0	-109
西城区	纯住宅	1	1	1	1	1	0	1	62091.0	574.0	18.0	1	0	1	27	0	1	1	1	0	-126
朝阳区	纯住宅	1	1	1	1	0	0	1	39100.0	1813.0	18.0	0	5	1	26	0	0	27	0	0	-88
东城区	写字楼	1	1	0	0	0	1	1	NULL	3520.0	9.0	7	9	1	13	0	1	28	0	0	-169
丰台区	纯住宅	1	1	1	0	0	0	0	39000.0	245.0	10.0	0	0	1	0	0	1	2	0	0	-36
海淀区	写字楼	1	1	0	0	0	0	1	31000.0	3520.0	6.0	0	0	1	38	0	0	10	0	0	-52
海淀区	纯住宅	1	1	1	1	1	0	1	34850.0	3360.0	20.0	0	3	2	10	0	1	36	0	0	-61
朝阳区	商住两用	1	1	1	1	1	0	1	40000.0	1320.0	6.0	18	5	2	9	0	0	23	0	0	-231
丰台区	商住两用	1	0	1	0	0	0	1	28000.0	2640.0	24.0	0	0	2	13	0	0	18	0	0	-66
通州区	纯住宅	1	0	0	0	0	0	1	21800.0	2100.0	7.0	2	3	5	60	1	0	42	2	0	-38
通州区	纯住宅	1	0	0	0	0	0	1	21000.0	742.0	11.0	1	0	3	24	0	0	27	1	0	-10
丰台区	酒店式公寓	1	1	1	0	1	0	1	36000.0	6600.0	17.0	0	1	4	22	0	2	10	0	0	-22
通州区	纯住宅	1	0	0	0	0	0	1	27000.0	2283.75	20.0	1	0	2	53	0	1	38	0	0	-31
丰台区	写字楼	1	1	0	0	1	0	1	36000.0	3520.0	10.0	1	5	0	10	0	1	2	0	0	-39
西城区	纯住宅	1	0	0	0	0	0	1	49009.0	1050.0	14.0	2	2	2	51	0	1	28	1	0	-127
西城区	纯住宅	1	1	1	1	0	0	1	70000.0	560.0	12.0	36	0	0	0	0	0	3	1	0	-91
海淀区	纯住宅	0	0	0	0	0	1	0	37900.0	630.0	18.0	0	4	3	9	0	0	16	1	0	-76
朝阳区	纯住宅	1	0	0	0	0	0	1	37850.0	1680.0	16.0	0	1	0	0	0	0	0	0	0	-29
丰台区	纯住宅	1	0	0	0	0	0	1	37850.0	1029.0	21.0	0	0	1	1	0	1	16	0	0	-56
朝阳区	纯住宅	1	1	0	0	0	0	1	37000.0	1050.0	16.0	2	0	1	8	1	0	3	0	0	-62
东城区	商住两用	1	1	1	1	1	0	1	43000.0	5280.0	18.0	0	7	2	16	1	0	32	0	0	-34
丰台区	写字楼	1	1	0	0	0	0	1	NULL	3520.0	8.0	1	3	4	20	1	1	23	0	0	-40
朝阳区	纯住宅	1	0	1	0	0	0	1	38100.0	504.0	18.0	1	0	2	99	0	1	17	1	0	-35
朝阳区	纯住宅	1	1	1	1	1	0	1	53900.0	1512.0	18.0	2	4	0	9	0	1	3	0	0	-101
朝阳区	纯住宅	1	1	0	0	0	0	1	34100.0	448.0	16.0	0	8	2	35	0	0	24	1	0	-92
朝阳区	纯住宅	1	1	1	1	1	0	1	52300.0	1512.0	18.0	3	3	2	15	0	0	23	1	0	-73
东城区	纯住宅	1	1	1	1	1	0	1	63200.0	525.0	18.0	8	10	3	6	2	0	55	2	1	-197
丰台区	纯住宅	1	1	1	0	0	0	1	34300.0	3500.0	21.0	0	2	0	38	0	0	18	1	0	-53
海淀区	写字楼	1	1	1	1	1	0	1	NULL	6688.0	12.0	0	1	1	31	0	1	22	1	0	-164
朝阳区	写字楼	1	1	1	0	0	0	1	43000.0	12108.8	8.0	0	8	6	53	0	0	11	0	0	-159
朝阳区	纯住宅	1	1	1	1	1	0	1	49216.0	1635.0	20.0	7	18	4	44	1	1	126	3	1	-53
通州区	纯住宅	1	1	1	1	0	0	1	29500.0	4200.0	10.0	0	0	0	0	0	0	0	0	0	-27
大兴区	纯住宅	1	1	1	0	0	0	0	32000.0	2100.0	17.0	0	12	4	1	0	0	16	0	0	-5
昌平区	纯住宅	1	1	1	0	0	0	1	35000.0	770.0	8.0	0	3	5	40	0	0	10	0	0	-32
昌平区	纯住宅	1	1	1	0	0	0	1	35000.0	1456.0	8.0	0	3	5	40	0	0	10	0	0	-32
昌平区	纯住宅	1	1	1	0	0	0	1	35000.0	1260.0	8.0	0	3	5	40	0	0	10	0	0	-32
朝阳区	写字楼	1	1	1	1	0	0	1	NULL	3520.0	20.0	6	16	2	5	1	0	45	0	1	-110
丰台区	酒店式公寓	1	1	1	1	0	0	1	55000.0	10560.0	17.5	0	1	1	2	0	0	6	0	0	-88
丰台区	纯住宅	1	1	0	0	0	0	1	40000.0	3500.0	17.5	0	11	2	33	0	0	22	1	0	-42
丰台区	纯住宅	1	1	1	1	0	0	1	45400.0	2163.0	18.0	1	1	2	25	0	0	12	1	1	-35
丰台区	纯住宅	1	0	0	0	0	0	1	40000.0	875.0	12.0	0	2	2	48	0	0	24	0	0	-68
丰台区	纯住宅	1	1	1	0	0	0	1	40000.0	1400.0	18.0	1	2	3	23	0	0	17	1	0	-57
丰台区	纯住宅	1	1	1	0	0	0	1	40000.0	3850.0	18.5	0	0	1	31	0	1	18	1	0	-51
丰台区	纯住宅	1	1	1	1	0	0	1	43000.0	1225.0	9.0	0	9	1	50	0	3	35	1	0	-56
东城区	纯住宅	1	1	1	1	0	0	1	43000.0	1750.0	9.0	0	12	2	31	0	2	41	1	0	-57
丰台区	纯住宅	1	0	0	0	0	0	1	38000.0	875.0	22.0	0	0	1	40	0	0	11	1	0	-56
丰台区	纯住宅	1	0	0	0	0	0	1	40000.0	3150.0	23.0	1	8	2	52	0	0	26	0	0	-48
通州区	纯住宅	1	1	1	1	1	0	1	32000.0	5702.0	12.0	0	0	0	1	0	0	1	0	1	-33
朝阳区	酒店式公寓	1	1	0	0	0	0	1	36400.0	25344.0	6.0	0	0	1	0	0	0	0	0	0	-1
丰台区	纯住宅	1	1	1	0	0	0	1	33863.0	228.0	18.0	2	1	1	2	0	1	19	0	0	-46
丰台区	纯住宅	1	1	1	0	0	0	1	37157.0	420.0	18.0	0	9	4	29	1	1	56	1	1	-61
通州区	纯住宅	1	0	0	0	0	0	1	25450.0	1614.69	13.0	0	0	8	18	0	0	10	0	0	-17
海淀区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	24.0	0	17	4	76	1	1	28	1	2	-221
丰台区	纯住宅	1	1	1	0	0	0	1	33800.0	4200.0	12.5	1	0	0	0	0	0	6	0	0	-34
西城区	纯住宅	1	1	1	1	1	1	0	100000.0	420.0	9.0	4	3	1	40	0	1	35	2	0	-39
西城区	纯住宅	1	1	1	1	1	0	1	72300.0	3129.0	17.0	5	10	4	21	1	0	49	0	0	-57
丰台区	纯住宅	1	1	1	0	0	0	1	36000.0	1396.5	15.0	1	11	3	19	0	0	33	0	2	-26
大兴区	写字楼	1	1	1	0	0	0	1	NULL	2112.0	6.0	0	6	0	5	0	0	1	0	0	-11
朝阳区	纯住宅	1	1	1	1	1	1	0	89740.0	174.72	7.0	1	6	3	22	2	1	35	1	1	-10
西城区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	10.0	1	3	4	39	1	1	37	1	0	-124
石景山	纯住宅	1	0	0	0	0	0	1	33162.0	1405.3	25.0	1	5	2	23	1	1	25	1	0	-27
朝阳区	酒店宾馆	1	1	1	1	1	0	1	50000.0	1320.0	4.0	11	0	1	0	0	0	1	0	0	-53
海淀区	写字楼	1	1	1	1	0	0	0	NULL	3520.0	6.0	0	1	0	35	0	0	2	0	0	-93
朝阳区	酒店式公寓	1	1	1	1	0	0	1	49200.0	6600.0	20.0	1	10	2	4	1	1	97	0	0	-79
海淀区	纯住宅	1	1	1	1	1	0	0	60000.0	700.0	17.5	0	8	1	57	0	0	19	0	0	-95
朝阳区	纯住宅	1	1	1	1	1	1	1	44194.0	3500.0	17.5	3	11	9	18	2	0	98	0	0	-97
朝阳区	纯住宅	1	1	1	1	1	1	1	33551.0	3500.0	20.0	0	1	3	11	0	0	14	0	0	-40
海淀区	纯住宅	1	1	1	1	1	1	0	39000.0	1750.0	20.0	0	1	6	15	0	0	18	0	0	-127
海淀区	写字楼	1	1	0	0	0	0	1	47800.0	10560.0	10.0	0	1	0	1	0	0	38	0	0	-61
朝阳区	纯住宅	1	1	0	0	0	0	0	37000.0	2961.0	17.0	0	1	2	0	0	0	0	0	0	-77
丰台区	写字楼	1	1	1	0	0	0	1	NULL	3520.0	8.0	2	0	0	8	0	0	2	0	0	-80
朝阳区	酒店式公寓	1	1	0	0	0	0	0	44000.0	3960.0	21.0	2	7	4	27	0	3	35	0	0	-82
丰台区	纯住宅	1	1	1	0	0	0	1	35000.0	1750.0	10.0	0	4	1	37	0	1	32	1	0	-88
海淀区	商住两用	1	1	1	1	0	0	0	45000.0	5280.0	15.0	0	0	0	0	0	0	2	0	0	-39
东城区	商住两用	1	1	1	0	0	0	1	48000.0	3960.0	11.0	0	7	3	16	0	1	28	2	0	-39
海淀区	写字楼	1	1	0	1	1	0	1	NULL	3379.2	18.0	0	0	0	0	0	0	1	0	0	-92
海淀区	写字楼	1	1	0	0	0	0	0	NULL	3203.2	8.0	0	0	1	1	0	0	1	0	0	-53
朝阳区	纯住宅	1	1	1	1	1	0	1	65000.0	2408.0	8.5	2	4	3	29	0	0	22	2	1	-3
通州区	纯住宅	1	0	0	0	0	0	0	20350.0	805.1	12.0	0	2	2	5	0	0	1	0	0	-16
西城区	写字楼	1	1	0	0	0	0	1	NULL	7040.0	18.0	1	6	2	14	0	0	10	0	0	-105
丰台区	写字楼	1	1	1	0	0	0	0	NULL	3520.0	8.0	1	0	0	0	0	0	4	0	0	-47
海淀区	纯住宅	1	1	1	1	1	1	0	62040.0	1575.0	7.5	0	1	1	6	0	0	47	0	0	-94
海淀区	写字楼	1	1	1	1	1	0	0	NULL	3414.4	16.0	0	1	1	6	0	0	47	0	0	-94
丰台区	纯住宅	1	1	1	0	0	0	0	39740.0	1750.0	24.0	1	1	2	59	0	1	44	1	0	-61
朝阳区	纯住宅	1	1	1	1	1	1	0	30850.0	2800.0	19.0	60	14	2	5	0	1	55	1	1	-115
丰台区	纯住宅	1	1	1	0	0	0	0	39740.0	175.0	24.0	1	0	5	37	0	2	57	1	0	-51
海淀区	纯住宅	0	0	0	0	0	1	0	31000.0	5250.0	15.0	0	0	0	0	0	0	0	0	0	-33
丰台区	纯住宅	1	1	1	0	0	0	0	39740.0	2380.0	20.0	0	7	2	34	1	1	52	1	1	-52
朝阳区	写字楼	1	1	0	1	1	0	0	39600.0	17600.0	18.0	0	0	1	0	0	0	0	0	0	-21
